pokedex_num,species,catch_rate
1,Bulbasaur,45
2,Ivysaur,45
3,Venusaur,45
4,Charmander,45
5,Charmeleon,45
6,Charizard,45
7,Squirtle,45
8,Wartortle,45
9,Blastoise,45
10,Caterpie,255
11,Metapod,120
12,Butterfree,45
13,Weedle,255
14,Kakuna,120
15,Beedrill,45
16,Pidgey,255
17,Pidgeotto,120
18,Pidgeot,45
19,Rattata,255
20,Raticate,127
21,Spearow,255
22,Fearow,90
23,Ekans,255
24,Arbok,90
25,Pikachu,190
26,Raichu,75
27,Sandshrew,255
28,Sandslash,90
29,Nidoran?,235
30,Nidorina,120
31,Nidoqueen,45
32,Nidoran?,235
33,Nidorino,120
34,Nidoking,45
35,Clefairy,150
36,Clefable,25
37,Vulpix,190
38,Ninetales,75
39,Jigglypuff,170
40,Wigglytuff,50
41,Zubat,255
42,Golbat,90
43,Oddish,255
44,Gloom,120
45,Vileplume,45
46,Paras,190
47,Parasect,75
48,Venonat,190
49,Venomoth,75
50,Diglett,255
51,Dugtrio,50
52,Meowth,255
53,Persian,90
54,Psyduck,190
55,Golduck,75
56,Mankey,190
57,Primeape,75
58,Growlithe,190
59,Arcanine,75
60,Poliwag,255
61,Poliwhirl,120
62,Poliwrath,45
63,Abra,200
64,Kadabra,100
65,Alakazam,50
66,Machop,180
67,Machoke,90
68,Machamp,45
69,Bellsprout,255
70,Weepinbell,120
71,Victreebel,45
72,Tentacool,190
73,Tentacruel,60
74,Geodude,255
75,Graveler,120
76,Golem,45
77,Ponyta,190
78,Rapidash,60
79,Slowpoke,190
80,Slowbro,75
81,Magnemite,190
82,Magneton,60
83,Farfetch'd,45
84,Doduo,190
85,Dodrio,45
86,Seel,190
87,Dewgong,75
88,Grimer,190
89,Muk,75
90,Shellder,190
91,Cloyster,60
92,Gastly,190
93,Haunter,90
94,Gengar,45
95,Onix,45
96,Drowzee,190
97,Hypno,75
98,Krabby,225
99,Kingler,60
100,Voltorb,190
101,Electrode,60
102,Exeggcute,90
103,Exeggutor,45
104,Cubone,190
105,Marowak,75
106,Hitmonlee,45
107,Hitmonchan,45
108,Lickitung,45
109,Koffing,190
110,Weezing,60
111,Rhyhorn,120
